amplitud_inicial;frecuencia_inicial;amplitud_final;frecuencia_final
0,107739634;6070,3125;0,822064165;6070,3125
0,255427399;6093,75;0,669450331;6093,75
0,089291642;6117,1875;0,414485677;6117,1875
0,136387934;6140,625;0,242438067;6140,625
0,147424462;6164,0625;0,665932654;6164,0625
0,032690802;6187,5;0,4573479;6187,5
0,122326731;6210,9375;0,641803234;6210,9375
0,121237674;6234,375;0,389808385;6234,375
0,151370863;6257,8125;0,446337496;6257,8125
0,094459664;6281,25;0,166568024;6281,25
0,317127969;6304,6875;0,055769448;6304,6875
0,057369832;6328,125;0,106124617;6328,125
0,173714421;6351,5625;0,179925893;6351,5625
0,048437915;6375;0,33119916;6375
0,131741544;6398,4375;0,297619124;6398,4375
0,157511344;6421,875;0,380745432;6421,875
0,091257191;6445,3125;0,265995052;6445,3125
0,188484549;6468,75;0,422699371;6468,75
0,356642083;6492,1875;0,072499112;6492,1875
0,029641738;6515,625;0,171188942;6515,625
0,186210862;6539,0625;0,191453167;6539,0625
0,38971101;6562,5;0,172449234;6562,5
0,427641928;6585,9375;0,744513612;6585,9375
0,177322377;6609,375;0,290987186;6609,375
0,080342131;6632,8125;0,315203987;6632,8125
0,154065255;6656,25;0,170229427;6656,25
0,186504405;6679,6875;0,102649202;6679,6875
0,069548916;6703,125;0,118930482;6703,125
0,094239439;6726,5625;0,17026616;6726,5625
0,404080307;6750;0,235216694;6750
0,204374881;6773,4375;0,473336965;6773,4375
0,138678849;6796,875;0,458628986;6796,875
0,112582435;6820,3125;0,41352043;6820,3125
0,059251613;6843,75;0,297952168;6843,75
0,277085459;6867,1875;0,293356401;6867,1875
0,152437937;6890,625;0,110631345;6890,625
0,191669302;6914,0625;0,378170656;6914,0625
0,334080923;6937,5;0,164543154;6937,5
0,177075758;6960,9375;0,401111268;6960,9375
0,059824558;6984,375;0,062268931;6984,375
0,136482339;7007,8125;0,081041016;7007,8125
0,457191354;7031,25;0,620855612;7031,25
0,135872198;7054,6875;0,276917325;7054,6875
0,245012631;7078,125;0,063723065;7078,125
0,085184898;7101,5625;0,181924357;7101,5625
0,04596183;7125;0,095850805;7125
0,342604132;7148,4375;0,362143847;7148,4375
0,148434809;7171,875;0,092308425;7171,875
0,282621983;7195,3125;0,437711509;7195,3125
0,344220824;7218,75;0,159647062;7218,75
0,063767153;7242,1875;0,188108582;7242,1875
0,091312246;7265,625;0,200485984;7265,625
0,170435537;7289,0625;0,284038225;7289,0625
0,357587521;7312,5;0,438260255;7312,5
0,284356883;7335,9375;0,144201041;7335,9375
0,041522076;7359,375;0,435297121;7359,375
0,326423108;7382,8125;0,396942804;7382,8125
0,203703589;7406,25;0,286092116;7406,25
0,251776821;7429,6875;0,339190928;7429,6875
0,084508376;7453,125;0,176444518;7453,125
0,111362728;7476,5625;0,232184997;7476,5625
0,3282777;7500;0,022074805;7500
0,069752348;7523,4375;0,180605988;7523,4375
0,183445532;7546,875;0,441763401;7546,875
0,429413923;7570,3125;0,415504693;7570,3125
0,295577541;7593,75;0,044309276;7593,75
0,232954732;7617,1875;0,02985499;7617,1875
0,094519259;7640,625;0,193192295;7640,625
0,115117098;7664,0625;0,299604399;7664,0625
0,118869434;7687,5;0,228061399;7687,5
0,094798288;7710,9375;0,317188251;7710,9375
0,329591194;7734,375;0,256121862;7734,375
0,242901299;7757,8125;0,306999316;7757,8125
0,187717778;7781,25;0,339571412;7781,25
0,399482502;7804,6875;0,141070319;7804,6875
0,989415175;7828,125;0,230275796;7828,125
0,428001709;7851,5625;0,406505914;7851,5625
0,173197241;7875;0,114872615;7875
0,254510559;7898,4375;0,481943868;7898,4375
0,323616769;7921,875;0,5308103;7921,875
0,189797389;7945,3125;0,185029347;7945,3125
0,533717382;7968,75;0,233092698;7968,75
0,571574272;7992,1875;0,26446779;7992,1875
0,585424753;8015,625;0,118478963;8015,625
0,432377581;8039,0625;0,27865199;8039,0625
0,323817848;8062,5;0,505120265;8062,5
0,357556585;8085,9375;0,430333405;8085,9375
