amplitud_inicial,frecuencia_inicial,amplitud_final,frecuencia_final,gasto_estimado
0.136387934,6140.625,0.242438067,6140.625,0.21827674
0.147424462,6164.0625,0.665932654,6164.0625,0.21814057
0.032690802,6187.5,0.4573479,6187.5,0.2180074
0.122326731,6210.9375,0.641803234,6210.9375,0.21787183
0.121237674,6234.375,0.389808385,6234.375,0.21773835
0.151370863,6257.8125,0.446337496,6257.8125,0.21760353
0.094459664,6281.25,0.166568024,6281.25,0.2174704
0.317127969,6304.6875,0.055769448,6304.6875,0.21733542
0.057369832,6328.125,0.106124617,6328.125,0.21720184
0.173714421,6351.5625,0.179925893,6351.5625,0.2170666
0.048437915,6375.0,0.33119916,6375.0,0.21693206
0.131741544,6398.4375,0.297619124,6398.4375,0.21679737
0.157511344,6421.875,0.380745432,6421.875,0.21666247
0.091257191,6445.3125,0.265995052,6445.3125,0.21653208
0.188484549,6468.75,0.422699371,6468.75,0.21641032
0.356642083,6492.1875,0.072499112,6492.1875,0.21629053
0.029641738,6515.625,0.171188942,6515.625,0.2161707
0.186210862,6539.0625,0.191453167,6539.0625,0.21604931
0.38971101,6562.5,0.172449234,6562.5,0.21591793
0.427641928,6585.9375,0.744513612,6585.9375,0.21578366
0.177322377,6609.375,0.290987186,6609.375,0.2156565
0.080342131,6632.8125,0.315203987,6632.8125,0.21552593
0.154065255,6656.25,0.170229427,6656.25,0.21539557
0.186504405,6679.6875,0.102649202,6679.6875,0.21525045
0.069548916,6703.125,0.118930482,6703.125,0.21510422
0.094239439,6726.5625,0.17026616,6726.5625,0.21495716
0.404080307,6750.0,0.235216694,6750.0,0.21480873
0.204374881,6773.4375,0.473336965,6773.4375,0.21466497
0.138678849,6796.875,0.458628986,6796.875,0.21452715
0.112582435,6820.3125,0.41352043,6820.3125,0.21438932
0.059251613,6843.75,0.297952168,6843.75,0.21425201
0.277085459,6867.1875,0.293356401,6867.1875,0.21411285
0.152437937,6890.625,0.110631345,6890.625,0.21397623
0.191669302,6914.0625,0.378170656,6914.0625,0.21383639
0.334080923,6937.5,0.164543154,6937.5,0.21369871
0.177075758,6960.9375,0.401111268,6960.9375,0.21355994
0.059824558,6984.375,0.062268931,6984.375,0.21342416
0.136482339,7007.8125,0.081041016,7007.8125,0.2132855
0.457191354,7031.25,0.620855612,7031.25,0.21314286
0.135872198,7054.6875,0.276917325,7054.6875,0.21300805
0.245012631,7078.125,0.063723065,7078.125,0.21287054
0.085184898,7101.5625,0.181924357,7101.5625,0.21274355
0.04596183,7125.0,0.095850805,7125.0,0.21262208
0.342604132,7148.4375,0.362143847,7148.4375,0.21249731
0.148434809,7171.875,0.092308425,7171.875,0.21237746
0.282621983,7195.3125,0.437711509,7195.3125,0.21225302
0.344220824,7218.75,0.159647062,7218.75,0.21213207
0.063767153,7242.1875,0.188108582,7242.1875,0.2120111
0.091312246,7265.625,0.200485984,7265.625,0.21188882
0.170435537,7289.0625,0.284038225,7289.0625,0.21176596
0.357587521,7312.5,0.438260255,7312.5,0.21164224
0.284356883,7335.9375,0.144201041,7335.9375,0.21152198
0.041522076,7359.375,0.435297121,7359.375,0.2113995
0.326423108,7382.8125,0.396942804,7382.8125,0.21127632
0.203703589,7406.25,0.286092116,7406.25,0.21115535
0.251776821,7429.6875,0.339190928,7429.6875,0.21103278
0.084508376,7453.125,0.176444518,7453.125,0.21091227
0.111362728,7476.5625,0.232184997,7476.5625,0.21078977
0.3282777,7500.0,0.022074805,7500.0,0.21066777
0.069752348,7523.4375,0.180605988,7523.4375,0.21054605
0.183445532,7546.875,0.441763401,7546.875,0.21042211
0.429413923,7570.3125,0.415504693,7570.3125,0.21029906
0.295577541,7593.75,0.044309276,7593.75,0.21017945
0.232954732,7617.1875,0.02985499,7617.1875,0.21005772
0.094519259,7640.625,0.193192295,7640.625,0.20993544
0.115117098,7664.0625,0.299604399,7664.0625,0.20981309
0.118869434,7687.5,0.228061399,7687.5,0.2096999
0.094798288,7710.9375,0.317188251,7710.9375,0.20958614
0.329591194,7734.375,0.256121862,7734.375,0.20947184
0.242901299,7757.8125,0.306999316,7757.8125,0.20935856
0.187717778,7781.25,0.339571412,7781.25,0.20924519
0.399482502,7804.6875,0.141070319,7804.6875,0.20913157
0.989415175,7828.125,0.230275796,7828.125,0.20901495
0.428001709,7851.5625,0.406505914,7851.5625,0.20890336
0.173197241,7875.0,0.114872615,7875.0,0.20879233
0.254510559,7898.4375,0.481943868,7898.4375,0.2086769
0.323616769,7921.875,0.5308103,7921.875,0.2085629
0.189797389,7945.3125,0.185029347,7945.3125,0.20845152
0.533717382,7968.75,0.233092698,7968.75,0.20833623
0.571574272,7992.1875,0.26446779,7992.1875,0.208232
0.585424753,8015.625,0.118478963,8015.625,0.20813653
0.432377581,8039.0625,0.27865199,8039.0625,0.20804054
0.323817848,8062.5,0.505120265,8062.5,0.2079441
0.357556585,8085.9375,0.430333405,8085.9375,0.20784824
0.395501607,8109.375,0.290748273,8109.375,0.20775262
0.089117103,8132.8125,0.116712334,8132.8125,0.20765868
0.258319252,8156.25,0.018393681,8156.25,0.2075623
0.18119413,8179.6875,0.29907718,8179.6875,0.2074655
0.107704455,8203.125,0.142349499,8203.125,0.20737045
0.13788081,8226.5625,0.354917931,8226.5625,0.20727344
0.201509479,8250.0,0.12414151,8250.0,0.20717807
0.212519287,8273.4375,0.139744855,8273.4375,0.20708194
0.064500903,8296.875,0.151531677,8296.875,0.20698655
0.131609683,8320.3125,0.273112688,8320.3125,0.20688973
0.121268114,8343.75,0.148909645,8343.75,0.20679428
0.148958995,8367.1875,0.068530561,8367.1875,0.20669846
0.127409184,8390.625,0.240872565,8390.625,0.20660184
0.165695887,8414.0625,0.241768836,8414.0625,0.20650566
0.070636873,8437.5,0.381479382,8437.5,0.2064095
0.101715455,8460.9375,0.269679608,8460.9375,0.2063138
0.157631141,8484.375,0.206795074,8484.375,0.20622104
0.166402979,8507.8125,0.215516169,8507.8125,0.20612925
0.151199915,8531.25,0.219544594,8531.25,0.20603757
0.200067174,8554.6875,0.109079069,8554.6875,0.20594595
0.347958149,8578.125,0.292917067,8578.125,0.20585312
0.200936253,8601.5625,0.360572055,8601.5625,0.20576179
0.053823128,8625.0,0.256159981,8625.0,0.20567094
0.21081261,8648.4375,0.133189851,8648.4375,0.20557892
0.22921229,8671.875,0.272439329,8671.875,0.20548673
0.183878905,8695.3125,0.164907514,8695.3125,0.20539548
0.104938771,8718.75,0.408931945,8718.75,0.20530339
0.164679902,8742.1875,0.128501005,8742.1875,0.20521219
0.20206389,8765.625,0.258213945,8765.625,0.20511995
0.067639865,8789.0625,0.126526336,8789.0625,0.20502913
0.023010531,8812.5,0.34046259,8812.5,0.20493697
0.142788252,8835.9375,0.1242114,8835.9375,0.20484537
0.163607058,8859.375,0.113923688,8859.375,0.2047536
0.111095616,8882.8125,0.103565063,8882.8125,0.2046621
0.020945911,8906.25,0.249504218,8906.25,0.20457032
0.070461803,8929.6875,0.159441675,8929.6875,0.20447865
0.088817175,8953.125,0.206761467,8953.125,0.20438671
0.156055825,8976.5625,0.293263893,8976.5625,0.20429447
0.080999629,9000.0,0.218629117,9000.0,0.20420325
0.215192395,9023.4375,0.099769916,9023.4375,0.20411132
0.122711649,9046.875,0.20013984,9046.875,0.20401967
0.303322985,9070.3125,0.351523867,9070.3125,0.20392679
0.094288632,9093.75,0.256502584,9093.75,0.20383616
0.089717213,9117.1875,0.15075313,9117.1875,0.20374474
0.212593728,9140.625,0.205428205,9140.625,0.20365238
0.273558971,9164.0625,0.192864581,9164.0625,0.20356044
0.079575436,9187.5,0.096587726,9187.5,0.20346975
0.270992172,9210.9375,0.066223672,9210.9375,0.20337734
0.365703338,9234.375,0.159738176,9234.375,0.20328498
0.103266945,9257.8125,0.48667479,9257.8125,0.20319337
0.047694133,9281.25,0.397418316,9281.25,0.20310211
0.23013569,9304.6875,0.413302581,9304.6875,0.2030096
0.115440047,9328.125,0.062243907,9328.125,0.20291932
0.351687464,9351.5625,0.095159208,9351.5625,0.20282656
0.19348649,9375.0,0.391198794,9375.0,0.20273462
0.037738406,9398.4375,0.119519627,9398.4375,0.20264429
0.102748372,9421.875,0.376852065,9421.875,0.20255157
0.308269829,9445.3125,0.157403191,9445.3125,0.20244433
0.144632116,9468.75,0.077858245,9468.75,0.20233731
0.426123691,9492.1875,0.066794184,9492.1875,0.20222831
0.310081563,9515.625,0.126421062,9515.625,0.20212077
0.071147007,9539.0625,0.12459681,9539.0625,0.20201388
0.200880104,9562.5,0.437816243,9562.5,0.2019047
0.166853327,9585.9375,0.250452898,9585.9375,0.20179741
0.243300201,9609.375,0.069712906,9609.375,0.20168966
0.460222638,9632.8125,0.343692582,9632.8125,0.20158024
0.321559317,9656.25,0.017052492,9656.25,0.20147373
0.682802494,9679.6875,0.070801536,9679.6875,0.20136425
0.194139341,9703.125,0.149373034,9703.125,0.20125817
0.212805853,9726.5625,0.362581046,9726.5625,0.2011497
0.187728685,9750.0,0.040456261,9750.0,0.20104271
0.681323026,9773.4375,0.140939775,9773.4375,0.20093256
0.349362416,9796.875,0.046098897,9796.875,0.20082629
0.478273033,9820.3125,0.133916871,9820.3125,0.20071766
0.291765312,9843.75,0.337394482,9843.75,0.20061004
0.154819031,9867.1875,0.206439283,9867.1875,0.20050305
0.151178152,9890.625,0.05943607,9890.625,0.20039555
0.619199106,9914.0625,0.136582695,9914.0625,0.20028557
0.074383842,9937.5,0.140177899,9937.5,0.2001799
0.153464383,9960.9375,0.119070856,9960.9375,0.20007177
0.399362797,9984.375,0.158327127,9984.375,0.19996278
0.25783667,10007.8125,0.130446159,10007.8125,0.19985555
0.130461627,10031.25,0.15761808,10031.25,0.19974813
0.148525796,10054.6875,0.179334631,10054.6875,0.19964013
0.325633623,10078.125,0.121473104,10078.125,0.19953166
0.259968871,10101.5625,0.102014873,10101.5625,0.1994241
0.092024725,10125.0,0.117004661,10125.0,0.19931689
0.304367506,10148.4375,0.132555789,10148.4375,0.1992081
0.102567122,10171.875,0.157254811,10171.875,0.19910099
